Year,Region,School,Family,Students
2022,강북구,고등학교,국제결혼가정 자녀,72
2022,강북구,고등학교,외국인가정 자녀,1
2023,강북구,초등학교,국제결혼가정 자녀,344
2023,강북구,초등학교,외국인가정 자녀,57
2023,강북구,중학교,국제결혼가정 자녀,123
2023,강북구,중학교,외국인가정 자녀,25
2023,강북구,고등학교,국제결혼가정 자녀,71
2023,강북구,고등학교,외국인가정 자녀,5
2013,강서구,초등학교,국제결혼가정 자녀,297
2013,강서구,초등학교,외국인가정 자녀,23
2013,강서구,중학교,국제결혼가정 자녀,63
2013,강서구,중학교,외국인가정 자녀,7
2013,강서구,고등학교,국제결혼가정 자녀,34
2013,강서구,고등학교,외국인가정 자녀,10
2014,강서구,초등학교,국제결혼가정 자녀,340
2014,강서구,초등학교,외국인가정 자녀,11
2014,강서구,중학교,국제결혼가정 자녀,77
2014,강서구,중학교,외국인가정 자녀,3
2014,강서구,고등학교,국제결혼가정 자녀,56
2014,강서구,고등학교,외국인가정 자녀,7
2015,강서구,초등학교,국제결혼가정 자녀,424
2015,강서구,초등학교,외국인가정 자녀,39
2015,강서구,중학교,국제결혼가정 자녀,68
2015,강서구,중학교,외국인가정 자녀,6
2015,강서구,고등학교,국제결혼가정 자녀,59
2015,강서구,고등학교,외국인가정 자녀,6
2016,강서구,초등학교,국제결혼가정 자녀,503
2016,강서구,초등학교,외국인가정 자녀,81
2016,강서구,중학교,국제결혼가정 자녀,70
2016,강서구,중학교,외국인가정 자녀,4
2016,강서구,고등학교,국제결혼가정 자녀,91
2016,강서구,고등학교,외국인가정 자녀,26
2017,강서구,초등학교,국제결혼가정 자녀,521
2017,강서구,초등학교,외국인가정 자녀,44
2017,강서구,중학교,국제결혼가정 자녀,66
2017,강서구,중학교,외국인가정 자녀,3
2017,강서구,고등학교,국제결혼가정 자녀,123
2017,강서구,고등학교,외국인가정 자녀,18
2018,강서구,초등학교,국제결혼가정 자녀,551
2018,강서구,초등학교,외국인가정 자녀,56
2018,강서구,중학교,국제결혼가정 자녀,73
2018,강서구,중학교,외국인가정 자녀,7
2018,강서구,고등학교,국제결혼가정 자녀,107
2018,강서구,고등학교,외국인가정 자녀,14
2019,강서구,초등학교,국제결혼가정 자녀,595
2019,강서구,초등학교,외국인가정 자녀,72
2019,강서구,중학교,국제결혼가정 자녀,93
2019,강서구,중학교,외국인가정 자녀,12
2019,강서구,고등학교,국제결혼가정 자녀,75
2019,강서구,고등학교,외국인가정 자녀,18
2020,강서구,초등학교,국제결혼가정 자녀,612
2020,강서구,초등학교,외국인가정 자녀,100
2020,강서구,중학교,국제결혼가정 자녀,116
2020,강서구,중학교,외국인가정 자녀,12
2020,강서구,고등학교,국제결혼가정 자녀,87
2020,강서구,고등학교,외국인가정 자녀,20
2021,강서구,초등학교,국제결혼가정 자녀,591
2021,강서구,초등학교,외국인가정 자녀,91
2021,강서구,중학교,국제결혼가정 자녀,144
2021,강서구,중학교,외국인가정 자녀,11
2021,강서구,고등학교,국제결혼가정 자녀,89
2021,강서구,고등학교,외국인가정 자녀,12
2022,강서구,초등학교,국제결혼가정 자녀,577
2022,강서구,초등학교,외국인가정 자녀,87
2022,강서구,중학교,국제결혼가정 자녀,157
2022,강서구,중학교,외국인가정 자녀,16
2022,강서구,고등학교,국제결혼가정 자녀,95
2022,강서구,고등학교,외국인가정 자녀,30
2023,강서구,초등학교,국제결혼가정 자녀,544
2023,강서구,초등학교,외국인가정 자녀,76
2023,강서구,중학교,국제결혼가정 자녀,180
2023,강서구,중학교,외국인가정 자녀,22
2023,강서구,고등학교,국제결혼가정 자녀,111
2023,강서구,고등학교,외국인가정 자녀,25
2013,관악구,초등학교,국제결혼가정 자녀,242
2013,관악구,초등학교,외국인가정 자녀,68
2013,관악구,중학교,국제결혼가정 자녀,57
2013,관악구,중학교,외국인가정 자녀,21
2013,관악구,고등학교,국제결혼가정 자녀,26
2013,관악구,고등학교,외국인가정 자녀,17
2014,관악구,초등학교,국제결혼가정 자녀,270
2014,관악구,초등학교,외국인가정 자녀,91
2014,관악구,중학교,국제결혼가정 자녀,65
2014,관악구,중학교,외국인가정 자녀,12
2014,관악구,고등학교,국제결혼가정 자녀,33
2014,관악구,고등학교,외국인가정 자녀,18
2015,관악구,초등학교,국제결혼가정 자녀,309
2015,관악구,초등학교,외국인가정 자녀,156
