연번,운영방식,도로명주소,지번주소,위치 ,위도,경도,Integrated,Used battery
188,Used battery,서울특별시 관악구 신림로29길 6,서울특별시 관악구 신림동 1694-7,서림동 주민센터,37.47499588,126.9349996,0,1
189,Used battery,서울특별시 관악구 신림로 40,서울특별시 관악구 신림동 133,신림중학교 1층 복도,37.47032734,126.946004,0,1
190,Integrated,서울특별시 관악구 광신길 160,서울특별시 관악구 신림동 1704-1,신림주공아파트1단지 관리사무소 옆,37.46603288,126.9273956,1,0
191,Integrated,서울특별시 관악구 호암로 541,서울특별시 관악구 신림동 1698,태흥아파트 관리사무소 앞,37.46602175,126.931073,1,0
192,Integrated,서울특별시 관악구 양지길 50-5,서울특별시 관악구 신림동 1721,우정아파트1단지 관리사무소 옆,37.47143015,126.9290782,1,0
193,Integrated,서울특별시 관악구 양지길 52-1,서울특별시 관악구 신림동 1726,우정아파트2단지 관리사무소 앞,37.47079743,126.9269635,1,0
194,Integrated,서울특별시 관악구 호암로16길 5,서울특별시 관악구 신림동 1724,신림서초아파트 관리사무소 앞,37.46402245,126.9322447,1,0
195,Integrated,서울특별시 관악구 호암로16길 11,서울특별시 관악구 신림동 1729,청화아파트 관리사무소 앞,37.46348323,126.9324566,1,0
196,Integrated,서울특별시 관악구 호암로 520,서울특별시 관악구 신림동 310-8,삼성동 자치회관,37.46411547,126.9318251,1,0
197,Integrated,서울특별시 관악구 호암로 589,서울특별시 관악구 신림동 1528,삼성동주민센터 주차장,37.4701073,126.9329623,1,0
198,Integrated,서울특별시 관악구 호암로 519,서울특별시 관악구 신림동 1733,벽산블루밍아파트 103동 앞,37.46416426,126.9312812,1,0
199,Integrated,서울특별시 관악구 호암로 399,서울특별시 관악구 신림동 1714,삼성산주공아파트 307동 앞,37.46137137,126.9254548,1,0
200,Integrated,서울특별시 관악구 호암로 417,서울특별시 관악구 신림동 1693,국제 산장아파트 관리사무소 옆,37.46133515,126.9274799,1,0
201,Used battery,서울특별시 관악구 광신길 86,서울특별시 관악구 신림동 1713,신림주공아파트 2단지 204동 앞,37.46449762,126.9269064,0,1
202,Used battery,서울특별시 관악구 광신길 160,서울특별시 관악구 신림동 1704-1,신림주공아파트 1단지 관리사무소 옆,37.46603288,126.9273956,0,1
203,Used battery,서울특별시 관악구 호암로 520,서울특별시 관악구 신림동 310-8,삼성동 자치회관 내,37.46411547,126.9318251,0,1
204,Integrated,서울특별시 관악구 호암로 399,서울특별시 관악구 신림동 1714,삼성산주공아파트,37.46137137,126.9254548,1,0
205,Integrated,서울특별시 관악구 호암로 399,서울특별시 관악구 신림동 1714,삼성산주공아파트,37.46137137,126.9254548,1,0
206,Integrated,서울특별시 관악구 호암로 399,서울특별시 관악구 신림동 1714,삼성산주공아파트,37.46137137,126.9254548,1,0
207,Integrated,서울특별시 관악구 호암로 399,서울특별시 관악구 신림동 1714,삼성산주공아파트,37.46137137,126.9254548,1,0
208,Integrated,서울특별시 관악구 호암로 399,서울특별시 관악구 신림동 1714,삼성산주공아파트,37.46137137,126.9254548,1,0
209,Integrated,서울특별시 관악구 호암로 399,서울특별시 관악구 신림동 1714,삼성산주공아파트,37.46137137,126.9254548,1,0
210,Integrated,서울특별시 관악구 호암로 417,서울특별시 관악구 신림동 1693,국제 산장아파트 105동,37.46133515,126.9274799,1,0
211,Integrated,서울특별시 관악구 호암로 417,서울특별시 관악구 신림동 1693,국제 산장아파트 108동,37.46133515,126.9274799,1,0
212,Integrated,서울특별시 관악구 호암로 546,서울특별시 관악구 신림동 1557-1,미림여고 창고,37.4661018,126.9319279,1,0
213,Integrated,서울특별시 관악구 대학18길 6,서울특별시 관악구 신림동 1705,신림동금호타운1차아파트 102동 주차장,37.46598357,126.9374388,1,0
214,Integrated,서울특별시 관악구 신림로3가길 7,서울특별시 관악구 신림동 1706,신림동금호타운2차아파트,37.46823784,126.9443425,1,0
215,Integrated,서울특별시 관악구 대학20길 27,서울특별시 관악구 신림동 255-189,신림동현대아파트 정문 경비실 옆,37.4643054,126.9373716,1,0
216,Integrated,서울특별시 관악구 신림로23길 17,서울특별시 관악구 신림동 1522,관악청소년회관,37.4702439,126.9352433,1,0
217,Integrated,서울특별시 관악구 신림로3길 40,서울특별시 관악구 신림동 1703-1,"신림건영3차아파트 7동 앞, 재활용창고 옆",37.46678342,126.9418862,1,0
218,Integrated,서울특별시 관악구 신림로23길 103,서울특별시 관악구 신림동 254-301,신림현대맨션 101동 앞,37.46604576,126.9343108,1,0
219,Integrated,서울특별시 관악구 신림로11길 151,서울특별시 관악구 신림동 산 28-9,신동아아파트,37.46436158,126.9405999,1,0
220,Integrated,서울특별시 관악구 신림로 111,서울특별시 관악구 신림동 1516,대학동 주민센터 입구,37.47059604,126.9369573,1,0
221,Used battery,서울특별시 관악구 호암로 546,서울특별시 관악구 신림동 1557-1,미림여고 창고,37.4661018,126.9319279,0,1
222,Integrated,서울특별시 관악구 신림로3가길 7,서울특별시 관악구 신림동 1706,신림동금호타운2차 201동,37.46823784,126.9443425,1,0
